id,observed_on,quality_grade,captive_cultivated,latitude,longitude,scientific_name,common_name
75759986,2021-04-28,research,false,30.5222663333,-98.07126231,Battus philenor,Pipevine Swallowtail
75761528,2021-04-28,research,false,30.5648175198,-98.1845052386,Battus philenor,Pipevine Swallowtail
75761529,2021-04-28,research,false,30.5241771715,-98.1051472812,Battus philenor,Pipevine Swallowtail
75763823,2021-04-28,research,false,30.5351123357,-98.1974126097,Battus philenor,Pipevine Swallowtail
75783593,2021-04-20,research,false,29.7868629474,-98.6907288092,Battus philenor,Pipevine Swallowtail
75813705,2021-04-30,research,false,30.0426695,-96.00525,Battus philenor,Pipevine Swallowtail
75837605,2021-04-30,research,false,29.68012,-98.337495,Battus philenor,Pipevine Swallowtail
75841983,2021-04-30,research,false,33.2176469722,-96.9434889722,Battus philenor,Pipevine Swallowtail
75846071,2021-04-30,research,false,30.556850699,-98.117363525,Battus philenor,Pipevine Swallowtail
75871715,2020-08-08,research,false,38.31945,-79.9635616667,Battus philenor,Pipevine Swallowtail
75872916,2021-04-30,research,false,29.3152372074,-98.2953569201,Battus philenor,Pipevine Swallowtail
75878636,2021-04-30,research,false,36.2822156224,-82.3495060578,Battus philenor,Pipevine Swallowtail
75884541,2021-04-30,research,false,33.7897000462,-93.7672147808,Battus philenor,Pipevine Swallowtail
75885967,2021-04-30,research,false,29.5698385998,-98.7559628586,Battus philenor,Pipevine Swallowtail
75896363,2021-04-30,research,false,33.2969466667,-86.8467783333,Battus philenor,Pipevine Swallowtail
75901467,2021-04-30,research,false,37.898279,-122.305693,Battus philenor hirsuta,California Pipevine Swallowtail
75902121,2021-04-30,research,false,39.0077205069,-121.5947116555,Battus philenor,Pipevine Swallowtail
75902394,2021-04-30,research,false,29.3640616667,-98.500595,Battus philenor,Pipevine Swallowtail
75902914,2021-04-30,research,false,29.3638933333,-98.5008983333,Battus philenor,Pipevine Swallowtail
75906302,2021-04-30,research,false,29.5527481,-98.5291692,Battus philenor,Pipevine Swallowtail
75913654,2021-04-29,research,false,39.77303,-121.7556083333,Battus philenor,Pipevine Swallowtail
75915409,2021-04-30,research,false,29.5579266667,-98.6286616667,Battus philenor,Pipevine Swallowtail
75919661,2021-04-30,research,false,29.5217595,-98.6378171,Battus philenor,Pipevine Swallowtail
75922224,2021-04-17,research,false,29.403381406,-99.2614380339,Battus philenor,Pipevine Swallowtail
75923527,2021-04-30,research,false,29.5832666667,-98.4351583333,Battus philenor,Pipevine Swallowtail
75931705,2021-04-26,research,false,32.7816615,-97.3030592,Battus philenor,Pipevine Swallowtail
75933402,2021-04-30,research,false,35.2022024846,-83.6574182136,Battus philenor,Pipevine Swallowtail
75942462,2021-04-30,research,false,29.7082587797,-98.514135657,Battus philenor,Pipevine Swallowtail
75942598,2021-04-30,research,false,29.7082480928,-98.5141397641,Battus philenor,Pipevine Swallowtail
75947337,2021-04-30,research,false,31.5440177913,-110.1328377151,Battus philenor,Pipevine Swallowtail
75949140,2021-04-30,research,false,30.2826657218,-97.2247553766,Battus philenor,Pipevine Swallowtail
75953138,2021-04-29,research,false,33.9709637212,-118.2423115249,Battus philenor,Pipevine Swallowtail
75954476,2021-04-30,research,false,33.0182221667,-97.0979471667,Battus philenor,Pipevine Swallowtail
75957127,2021-04-30,research,false,36.4699676129,-82.8027888904,Battus philenor,Pipevine Swallowtail
75963377,2021-04-30,research,false,36.4934045698,-82.6794442802,Battus philenor,Pipevine Swallowtail
75967476,2021-04-22,research,false,37.6026258826,-88.2788126269,Battus philenor,Pipevine Swallowtail
75971584,2020-09-02,research,false,31.7388980423,-110.8858680725,Battus philenor,Pipevine Swallowtail
75973089,2021-04-30,research,false,35.7515029907,-83.1138381958,Battus philenor,Pipevine Swallowtail
75975351,2021-04-30,research,false,33.7297106263,-96.7696131684,Battus philenor,Pipevine Swallowtail
75983385,2021-04-30,research,false,29.6009894601,-98.5402822495,Battus philenor,Pipevine Swallowtail
75987035,2021-04-30,research,false,33.0184833333,-97.0176166667,Battus philenor,Pipevine Swallowtail
75987867,2021-04-30,research,false,35.1944469722,-89.9324929722,Battus philenor,Pipevine Swallowtail
75991766,2021-04-30,research,false,29.5834991387,-98.6122574824,Battus philenor,Pipevine Swallowtail
75996807,2021-04-30,research,false,37.4751508032,-79.6416272853,Battus philenor,Pipevine Swallowtail
76004755,2021-04-22,research,false,37.4683676631,-88.5396557578,Battus philenor,Pipevine Swallowtail
