id,observed_on,quality_grade,latitude,longitude,place_town_name,place_county_name,place_state_name,scientific_name,common_name
703072,2014-05-24,research,38.833256,-77.069938,,Alexandria,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
711470,2014-05-31,research,41.553708,-83.84903,,Lucas,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
713765,2014-05-22,research,36.441299,-93.757084,,Carroll,Arkansas,Limenitis arthemis astyanax,Red-spotted Purple
717622,2014-06-04,research,35.543515,-82.472396,,Buncombe,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
721634,2014-06-05,research,41.713116,-87.912383,,Cook,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
724894,2014-05-26,research,40.5440711975,-79.9060745239,,Allegheny,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
730372,2014-06-10,research,43.6385,-92.2204,,Fillmore,Minnesota,Limenitis arthemis astyanax,Red-spotted Purple
730421,2014-06-10,research,43.641541,-91.580669,,Houston,Minnesota,Limenitis arthemis astyanax,Red-spotted Purple
731383,2014-06-11,research,32.976233,-96.59527,,Dallas,Texas,Limenitis arthemis astyanax,Red-spotted Purple
735468,2014-06-13,research,45.451604,-91.261067,,Rusk,Wisconsin,Limenitis arthemis astyanax,Red-spotted Purple
738294,2014-06-15,research,43.597776,-73.359285,,Washington,New York,Limenitis arthemis astyanax,Red-spotted Purple
746887,2014-06-20,research,36.790139,-88.611502,,Graves,Kentucky,Limenitis arthemis astyanax,Red-spotted Purple
750312,2014-06-22,research,35.513288,-93.326358,,Johnson,Arkansas,Limenitis arthemis astyanax,Red-spotted Purple
761324,2014-06-30,research,33.380661,-84.620463,,Coweta,Georgia,Limenitis arthemis astyanax,Red-spotted Purple
761511,2014-06-30,research,28.735902,-81.100689,,Seminole,Florida,Limenitis arthemis astyanax,Red-spotted Purple
762492,2014-06-07,research,33.957043,-85.93247,,Etowah,Alabama,Limenitis arthemis astyanax,Red-spotted Purple
762525,2014-06-07,research,33.957043,-85.93247,,Etowah,Alabama,Limenitis arthemis astyanax,Red-spotted Purple
775777,2014-07-05,research,40.371463,-78.777521,,Cambria,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
776168,2014-07-09,research,40.200877,-80.260951,,Washington,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
799219,2014-07-23,research,39.995905,-76.006177,,Lancaster,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
803963,2014-07-26,research,41.112081,-81.738796,,Medina,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
808154,2014-07-29,research,40.160217,-84.403455,,Miami,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
808308,2014-07-29,research,42.921361,-88.027611,,Milwaukee,Wisconsin,Limenitis arthemis astyanax,Red-spotted Purple
809454,2014-07-30,research,41.863294,-88.173684,,DuPage,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
816343,2014-08-03,research,35.813568,-78.715131,,Wake,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
816976,2014-08-04,research,41.79617,-88.182191,,DuPage,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
819810,2014-08-05,research,33.595032,-95.936909,,Fannin,Texas,Limenitis arthemis astyanax,Red-spotted Purple
824266,2014-08-07,research,40.3667164606,-80.9372721745,,"Jefferson County, US, OH",Ohio,Limenitis arthemis astyanax,Red-spotted Purple
